010101,ACTA DE VERIF. A JUEGOS. 60 GRS.,MILLAR,230.00,A,JUEGO,02/02/2001,19/02/2001,0.00,0.00,,,,,
010102,ACTA DE VERIF. IMPUESTO A EPND,MILLAR,230.00,A,EPND,02/02/2001,07/07/2001,0.00,0.00,,,,,
010104,ACTA DE VERIF. IMP. VEHICULAR. 60G,MILLAR,209.00,A,AVIV,02/02/2001,19/02/2001,0.00,0.00,,,,,
010301,CONDICIONES DEL CONTRATO,MILLAR,0.00,A,CDC,15/12/1999,18/08/2000,0.00,0.00,,,,,
010302,CLAVOS DE 1~,KG.,5.32,A,CLAVO,28/03/2001,20/04/2001,0.00,0.00,,,,,
010303,COMPROBANTE DE DESEMBOLSO,TALONARI,0.00,A,CDD,18/07/1998,19/08/2000,0.00,0.00,,,,,
010316,CONSTANCIA DE NO ADEUDOS,MILLAR,0.00,A,CDNA,31/08/1995,02/03/1998,0.00,0.00,,,,,
010322,COMPROBANTE DE LIQUIDACION,MILLAR,0.00,A,CL,01/10/1997,31/01/2000,0.00,0.00,,,,,
010323,CUPONES PARA SORTEO,MILLAR,45.00,A,CS,12/02/2007,28/02/2007,0.00,0.00,,,,,
010324,CINTILLOS PARA BILLETES,MILLAR,0.00,A,CPB,01/02/2000,26/08/2000,0.00,0.00,,,,,
010325,CONTROL DE OPERACIONES EN TRAMITE AHORR.,MILLAR,0.00,A,COTAH,13/12/1999,12/08/2000,0.00,0.00,,,,,
010407,DEPOSITO ORDEN DE PAGO M.E.,MILLAR,0.00,A,DOPME,10/10/1997,30/12/1998,0.00,0.00,,,,,
010409,TALONARIOS DE DECLARACION JURADA,TALONARI,0.00,A,DJ,17/11/2000,31/03/2003,0.00,0.00,,,,,
010410,DECLARACION PATRIMONIAL,MILLAR,0.00,A,DP,31/08/1995,15/01/2000,0.00,0.00,,,,,
010501,SOBRE DE ETIQUETAS AUTOADHESIVAS,SOBRE,2.95,A,EAT,10/06/2002,23/04/2002,0.00,0.00,,,,,
010601,FORMULARIO DE PRESTAMO,MILLAR,0.00,A,FP,31/08/1995,31/01/2000,0.00,0.00,,,,,
010602,FORMULARIO PRESTAMO DSCTO POR PLANILLA,MILLAR,0.00,A,FPDPP,02/08/2000,26/08/2000,0.00,0.00,,,,,
010603,FORMULARO PARA PRIMER PRESTAMO,MILLAR,0.00,A,FPP,06/03/1997,03/08/2000,0.00,0.00,,,,,
010604,FUNDAS PARA CHEQUERAS ROJAS (PQTE X 100),PQTE,0.00,A,FCHR,31/08/1995,19/12/1998,0.00,0.00,,,,,
010802,FICHAS ANUNCIOS Y PUBLICIDAD,MILLAR,133.00,A,ANUN.,15/08/2001,15/08/2001,0.00,0.00,,,,,
010803,HOJA DE EVALUACION,MILLAR,0.00,A,HE,16/12/1999,02/08/2000,0.00,0.00,,,,,
010901,INFORME COMERCIAL,MILLAR,0.00,A,IC,14/04/2000,05/08/2000,0.00,0.00,,,,,
010902,IMPRESORA EPSON FX - 2180,UNIDAD,2275.00,A,EPSON,02/10/2001,02/10/2001,0.00,0.00,,,,,
010904,HOJA RESUMEN IMPUESTO VEHICULAR 80 GRS.,MILLAR,55.00,A,HRIV,02/02/2001,03/02/2001,0.00,0.00,,,,,
011201,LIQUIDACION DE M.E. VENTA,TALONRIO,0.00,A,LMEV,28/06/1996,31/01/2000,0.00,0.00,,,,,
011202,LIQUIDACION DE M.E. COMPRA,TALONARI,0.00,A,LMEC,28/06/1996,31/01/2000,0.00,0.00,,,,,
011203,LIBRETA DE AHORRO,UNIDADES,0.00,A,LH,31/08/1995,21/08/1996,0.00,0.00,,,,,
011301,MAQUINA ROTULADORA,UNIDAD,150.00,A,MR,09/01/2001,30/04/2001,0.00,0.00,,,,,
011601,ORDENES DE COMPRA,MILLAR,0.00,A,OC,03/12/1999,03/03/2000,0.00,0.00,,,,,
011714,PC PENTIUM III 1000MHZ,UNIDAD,3338.90,A,PC,16/05/2002,16/05/2002,0.00,0.00,,,,,
011908,REPORTE DIARIO DE CHEQUES,TALON.,0.00,A,RDCH,31/08/1995,31/01/2000,0.00,0.00,,,,,
011915,RECIBOS DE MERCADO (COBRANZA)SISA,MILLAR,0.00,A,RM,22/10/1997,22/10/1997,0.00,0.00,,,,,
011916,RECIBOS DEFINITIVOS DE CAJA,UNIDAD,0.04,A,CAJA,31/03/2003,28/02/2014,0.00,0.00,,,,,
011917,RECIBO DE PAGO CUOTA PAGARE,PAQUETE,0.00,A,RPCP,31/08/1995,31/01/2000,0.00,0.00,,,,,
012001,SOLICITUD DE TALONARIO DE CHEQUES,MILLAR,0.00,A,STCH,16/12/1999,25/08/2000,0.00,0.00,,,,,
012002,SOLICITUD DE CREDITO MICROEMPRESA,MILLAR,0.00,A,SP,16/12/1999,05/08/2000,0.00,0.00,,,,,
012003,SOLICITUD DE COTIZACION,MILLAR,0.00,A,SC,03/12/1999,03/03/2000,0.00,0.00,,,,,
012004,SOLICITUD DE PREST. GARANTIA PLAZO FIJO,MILLAR,0.00,A,SPGPF,16/12/1999,02/08/2000,0.00,0.00,,,,,
012101,TARJETA DE CUENTAS (ORDEN DE PAGO),MILLAR,0.00,A,TCOP,28/06/1996,30/12/1998,0.00,0.00,,,,,
012102,TABLA DEPRECIACION - VALORES UNITARIOS,MILLAR,40.00,A,TABLA,30/12/2014,31/12/2014,0.00,0.00,,,,,
012103,TRIPTICOS INFORMATIVOS DE CREDITOS,MILLAR,0.00,A,TIC,01/08/2000,01/08/2000,0.00,0.00,,,,,
012301,VOLANTES DISFRUTA LA NAVIDAD CON EL SATP,MILLAR,26.00,A,SATP,09/12/2000,13/12/2000,0.00,0.00,,,,,
020302,CINTA DE IMPRESORA FX-880 (8750),UNIDAD,17.20,A,CINTA,12/03/2002,04/06/2002,0.00,0.00,,,,,
020303,CINTA DE IMPRESORA DFX-5000 - 8000,UNDS.,93.80,A,CIDFX,12/03/2002,12/07/2002,0.00,0.00,,,,,
020304,CARTUCHO DE CINTA BACKUP TRAVAN,UNIDAD,205.66,A,CINTA,11/07/2001,11/07/2001,0.00,0.00,,,,,
020301,CINTA DE IMPRESORA FX-1170 (8755),UNIDAD,17.60,A,CINTA,19/06/2002,24/01/2014,0.00,0.00,,,,,
020305,CINTA PARA RELOJ MARCADOR,UNDS.,0.00,A,CRM,02/04/1996,05/11/1998,0.00,0.00,,,,,
020306,"CONECTOR BNC TIPO ""T""",UNDS.,0.00,A,CBNCT,03/02/1997,02/07/1997,0.00,0.00,,,,,
020307,CONECTOR BNC AUTORROSCANTE MACHO,UNDS.,0.00,A,CBNCM,03/02/1997,24/07/1997,0.00,0.00,,,,,
020308,CONECTOR BNC HEMBRA HEMBRA,UNDS.,0.00,A,CBNCH,31/08/1995,08/08/2000,0.00,0.00,,,,,
020309,CONECTOR BNC TERMINATOR,UNDS.,0.00,A,CBNCT,15/07/1996,28/10/1998,0.00,0.00,,,,,
020401,DISKETTES 5 1/4 HD,CAJA,0.00,A,D514H,11/07/1998,17/09/2002,0.00,0.00,,,,,
020402,DISKETTES 5 1/4 DD,CAJA,0.00,A,D514D,04/09/1995,,0.00,0.00,,,,,
020403,DISKETTES 3 1/2 HD,CAJA,9.80,A,D312H,10/06/2002,26/04/2002,0.00,0.00,,,,,
020404,DISKETTES 3 1/2 DD,CAJA,0.00,A,D312D,06/11/1995,11/09/1999,0.00,0.00,,,,,
020405,DATA CARTRIDGE DC 6525 - 525 MB.,UNDS.,0.00,A,DC525,21/03/2000,26/08/2000,0.00,0.00,,,,,
020406,DATA CARTRIDGE MINI DC 2120 - 120 MB,UNDS.,0.00,A,DC120,16/03/1996,26/02/1999,0.00,0.00,,,,,
020407,DATA SWITCH,INDS.,0.00,A,DSW,24/04/1997,17/03/1998,0.00,0.00,,,,,
020310,CABLES DB-25 MACHO MACHO,UNDS.,0.00,A,CDB25,,,0.00,0.00,,,,,
021201,LIMPIA CABEZALES 3 1/2,UNDS.,0.00,A,LC312,01/03/1999,08/01/2000,0.00,0.00,,,,,
021202,LIMPIA CABEZALES 5 1/4,UNDS,0.00,A,LC514,01/03/1999,19/10/1998,0.00,0.00,,,,,
021701,PAPEL CONTINUO 9 7/8X11X1,MILLAR,23.10,A,PAPEL,12/07/2002,22/07/2002,0.00,0.00,,,,,
021702,PAPEL CONTINUO 9 7/8X11X2,MILLAR,65.93,A,PAPEL,21/02/2014,25/08/2014,0.00,0.00,,,,,
